id,jurisdiction,authority,topic_key,topic,change_type,announcement_date,rule_observed_from,effective_from,effective_to,status,controlling_source_url
"ca-study-permit-pal-tal-public-graduate-exemption-2026-01-01","Canada","Immigration, Refugees and Citizenship Canada","study-permit-pal-tal","PAL/TAL exemption for public-DLI master's and doctoral degree students","filing_requirement_exemption_added","2025-11-25","2026-01-01","2026-01-01","","current","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/2026-provincial-territorial-allocations-under-international-student-cap.html"
"ca-ee-categories-2026-02-18","Canada","Immigration, Refugees and Citizenship Canada","express-entry-category-based-selection","Express Entry category-based selection priorities","annual_categories_updated","2026-02-18","2026-02-18","","","current_2026_categories","https://www.canada.ca/en/immigration-refugees-citizenship/news/2026/02/attracting-the-worlds-best-talent-to-fill-canadas-labour-gaps-and-build-our-economy.html"
"ca-quebec-pstq-work-permit-public-policy-2026-03-13","Canada / Quebec","Immigration, Refugees and Citizenship Canada","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","temporary_public_policy_added","","2026-03-13","2026-03-13","2026-06-04","superseded","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-quebec-pr.html"
"ca-family-owp-sip-2026-03-23","Canada","Immigration, Refugees and Citizenship Canada","family-owp-sip-workers","Open work permits for spouses of workers under an SIP agreement","targeted_eligibility_added","","2026-03-23","2026-03-23","","current","https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/spouses-dependent-children/eligibility.html"
"ca-pnp-irpr-role-realignment-2026-03-30","Canada / Provincial Nominee Program","Governor in Council / Immigration, Refugees and Citizenship Canada","provincial-nominee-class-federal-provincial-assessment","PNP federal-provincial eligibility assessment roles under IRPR 87","regulatory_role_realignment","","2026-03-30","2026-03-30","","current","https://gazette.gc.ca/rp-pr/p2/2026/2026-04-08/html/sor-dors63-eng.html"
"ca-postsecondary-coop-work-permit-exemption-2026-04-01","Canada","Immigration, Refugees and Citizenship Canada","postsecondary-student-work-placement","Post-secondary student work placements without a separate co-op work permit","work_permit_requirement_removed","2026-04-09","2026-04-01","2026-04-01","","current","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/simplifying-co-op-work-permit-requirement-post-secondary-international-students.html"
"on-oinp-redesign-procedure-2026-05-30","Ontario","Government of Ontario, Ontario Immigrant Nominee Program","oinp-redesign-procedure","OINP redesign procedural framework","regulatory_procedure_change","2026-03-16","2026-03-16","2026-05-30","","current_foundational_procedure","https://www.ontario.ca/laws/regulation/r26047"
"ca-quebec-pstq-spouse-owp-2026-06-05","Canada / Quebec","Immigration, Refugees and Citizenship Canada","quebec-pstq-spouse-owp","Open work permits for spouses of certain Quebec PSTQ temporary workers","temporary_measure_expanded","2026-06-05","2026-06-05","2026-06-05","2026-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/work-permit-skilled-workers-quebec-pstq/spouses-common-law.html"
"ca-quebec-pstq-work-permit-public-policy-2026-06-05","Canada / Quebec","Immigration, Refugees and Citizenship Canada","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","temporary_public_policy_replaced","","2026-06-05","2026-06-05","2026-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-qc-pr-2026-2.html"
"ca-fmcsp-study-permit-policy-2026-06-25","Canada outside Quebec","Immigration, Refugees and Citizenship Canada","francophone-minority-communities-student-pilot-study","Updated Francophone Minority Communities Student Pilot study-permit public policy","temporary_public_policy_replaced","","2026-06-25","2026-06-25","","current_part_specific_expiry","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2026.html"
"ca-fmcsp-pr-owp-policy-2026-06-25","Canada outside Quebec","Immigration, Refugees and Citizenship Canada","francophone-minority-communities-student-pilot-pr-owp","Updated FMCSP permanent-residence and open-work-permit public policy","temporary_public_policy_replaced","","2026-06-25","2026-06-25","2032-11-30","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2026.html"
"on-oinp-workforce-priority-regulatory-replacement-2026-06-25","Ontario","Government of Ontario, Ontario Immigrant Nominee Program","oinp-workforce-priority-stream","Ontario Workforce Priority stream","streams_replaced","2026-06-26","2026-06-25","2026-06-25","","current_regulatory_foundation","https://www.ontario.ca/laws/regulation/r26204"
"ca-manitoba-workforce-transition-bridge-2026-07-06","Canada / Manitoba","Immigration, Refugees and Citizenship Canada","manitoba-workforce-transition-bridge","Manitoba Workforce Transition Bridge open work permit public policy","temporary_public_policy_added","","2026-07-06","2026-07-06","2027-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/prospective-pnp-applicants.html"
"on-oinp-workforce-priority-eoi-launch-2026-08-04","Ontario","Government of Ontario, Ontario Immigrant Nominee Program","oinp-workforce-priority-stream","Ontario Workforce Priority stream","eoi_portal_launched","2026-08-04","2026-08-04","2026-08-04","","current_operational","https://www.ontario.ca/page/2026-ontario-immigrant-nominee-program-updates"
"ca-work-permit-short-study-2026-09-04","Canada","Immigration, Refugees and Citizenship Canada","work-permit-holder-short-study-exemption","Short-term study without a study permit for valid work permit holders","temporary_public_policy_added","2026-09-09","2026-09-09","2026-09-04","2027-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-without-study-permit-2026-2.html"
