id,topic_key,topic,status,rule_observed_from,effective_from,effective_to,supersedes_event_id,superseded_by_event_id,controlling_source_url,last_verified_at
"ca-family-owp-students-2025-01-21","family-owp-international-students","Family open work permits for spouses of international students","current_with_current-page-details","2025-01-21","2025-01-21","","ca-family-owp-students-2024-03-19","","https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/help-your-spouse-common-law-partner-work-canada.html","2026-09-13"
"ca-pgwp-cip-list-2025-06-25","pgwp-field-of-study-list","PGWP eligible field-of-study list","superseded","2025-06-25","2025-06-25","2025-07-03","","ca-pgwp-cip-list-2025-07-04","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/update-requirement-post-graduation-work-permits.html","2026-09-11"
"ca-pgwp-cip-list-2025-07-04","pgwp-field-of-study-list","PGWP eligible field-of-study list","current_list_basis","2025-07-04","2025-07-04","","ca-pgwp-cip-list-2025-06-25","","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/update-requirement-post-graduation-work-permits.html","2026-09-11"
"ca-quebec-pstq-work-permit-public-policy-2026-03-13","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","superseded","2026-03-13","2026-03-13","2026-06-04","","ca-quebec-pstq-work-permit-public-policy-2026-06-05","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-quebec-pr.html","2026-09-13"
"ca-quebec-pstq-work-permit-public-policy-2026-06-05","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","temporary_current","2026-06-05","2026-06-05","2026-12-31","ca-quebec-pstq-work-permit-public-policy-2026-03-13","","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-qc-pr-2026-2.html","2026-09-13"
"ca-fmcsp-study-permit-policy-2025-09-18","francophone-minority-communities-student-pilot-study","Francophone Minority Communities Student Pilot study-permit public policy","superseded","2025-09-18","2025-09-18","2026-06-24","","ca-fmcsp-study-permit-policy-2026-06-25","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2025.html","2026-09-13"
"ca-fmcsp-study-permit-policy-2026-06-25","francophone-minority-communities-student-pilot-study","Updated Francophone Minority Communities Student Pilot study-permit public policy","current_part_specific_expiry","2026-06-25","2026-06-25","","ca-fmcsp-study-permit-policy-2025-09-18","","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2026.html","2026-09-13"
"ca-fmcsp-pr-policy-2025-09-18","francophone-minority-communities-student-pilot-pr-owp","FMCSP permanent-residence and open-work-permit public policy","superseded","2025-09-18","2025-09-18","2026-06-24","","ca-fmcsp-pr-owp-policy-2026-06-25","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2025.html","2026-09-13"
"ca-fmcsp-pr-owp-policy-2026-06-25","francophone-minority-communities-student-pilot-pr-owp","Updated FMCSP permanent-residence and open-work-permit public policy","temporary_current","2026-06-25","2026-06-25","2032-11-30","ca-fmcsp-pr-policy-2025-09-18","","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2026.html","2026-09-13"
"ca-family-owp-students-2024-03-19","family-owp-international-students","Family open work permits for spouses of international students","superseded","2024-03-19","2024-03-19","2025-01-20","","ca-family-owp-students-2025-01-21","https://search.open.canada.ca/qpnotes/record/cic%2CIRCC-2024-QP-00066","2026-09-13"
"ca-study-permit-pal-tal-graduate-expansion-2025-01-22","study-permit-pal-tal","PAL/TAL requirement expanded to graduate students and additional in-Canada applicants","partially_superseded_for_public_graduate_cohort","2025-01-22","2025-01-22","","","ca-study-permit-pal-tal-public-graduate-exemption-2026-01-01","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/2025-provincial-territorial-allocations-under-international-student-cap.html","2026-09-13"
"ca-study-permit-pal-tal-public-graduate-exemption-2026-01-01","study-permit-pal-tal","PAL/TAL exemption for public-DLI master's and doctoral degree students","current","2026-01-01","2026-01-01","","ca-study-permit-pal-tal-graduate-expansion-2025-01-22","","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/2026-provincial-territorial-allocations-under-international-student-cap.html","2026-09-13"
