id,jurisdiction,authority,topic_key,topic,change_type,announcement_date,rule_observed_from,effective_from,effective_to,date_basis,status,previous_rule,new_rule,transition_rule,supersedes_event_id,superseded_by_event_id,controlling_source_url,supporting_source_urls,evidence_status,last_verified_at
ca-pgwp-eligibility-2024-11-01,Canada,"Immigration, Refugees and Citizenship Canada",pgwp-general-eligibility,Post-graduation work permit eligibility,eligibility_change,,2024-11-01,2024-11-01,,Explicit application-date rule on current IRCC eligibility page,current,Archive coverage for this topic begins at this change; the archive does not yet reconstruct every earlier PGWP eligibility rule.,"For PGWP applications submitted on or after November 1, 2024, most applicants must meet a language requirement. For non-degree university and college/polytechnic/non-university graduates, a field-of-study requirement can apply when the study permit application was submitted on or after November 1, 2024. Bachelor's, master's and doctoral graduates have no field-of-study requirement. Flight-school graduates have specific exemptions.","IRCC states that applicants who submitted their PGWP application before November 1, 2024 do not need to meet the new language requirement; field-of-study rules depend on study-permit application date and program type.",,,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/about.html"",""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/get-documents.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-family-owp-students-2025-01-21,Canada,"Immigration, Refugees and Citizenship Canada",family-owp-international-students,Family open work permits for spouses of international students,eligibility_narrowed,2025-01-14,2025-01-21,2025-01-21,,"IRCC notice expressly states effective January 21, 2025",current_with_current-page-details,"From March 19, 2024 through January 20, 2025, family OWP eligibility for spouses and common-law partners of international students was already limited to master's/doctoral degree students, certain professional degree programs and select eligible pilots. The January 21, 2025 rule further narrowed the master's cohort to programs of at least 16 months and established the successor specified-program framework.","From January 21, 2025, family OWP eligibility for international students was limited to spouses or common-law partners of students in specified programs, including master's programs of 16 months or longer, doctoral programs and select professional or eligible programs.",Previously approved unexpired permits remain valid. IRCC also preserves specified extension situations for in-Canada family members.,ca-family-owp-students-2024-03-19,,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/help-your-spouse-common-law-partner-work-canada.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/changes-open-work-permits-family-members-temporary-residents.html""]",OFFICIAL_VERIFIED,2026-09-13
ca-family-owp-workers-2025-01-21,Canada,"Immigration, Refugees and Citizenship Canada",family-owp-foreign-workers,Family open work permits for spouses of foreign workers,eligibility_narrowed,2025-01-14,2025-01-21,2025-01-21,,"IRCC notice expressly states effective January 21, 2025",current_with_later_exceptions,"Family OWP eligibility was broader before the January 21, 2025 restriction.","For high-skilled workers outside specified permanent-residence pathways, eligible spouses or common-law partners are generally tied to principal applicants working in TEER 0 or 1 or selected TEER 2 or 3 occupations, with a general requirement that the principal applicant's work authorization remain valid for at least 16 months after IRCC receives the spouse's application. Dependent children ceased to qualify under this measure. Family members of low-skilled workers outside eligible pathways are generally not eligible under this measure.",Specified in-Canada extensions remain possible. Free-trade-agreement and permanent-residence-pathway cases have separate rules. Later targeted measures create additional exceptions.,,,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/spouses-dependent-children/eligibility.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/changes-open-work-permits-family-members-temporary-residents.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-ee-crs-job-offer-2025-03-25,Canada,"Immigration, Refugees and Citizenship Canada",express-entry-crs-arranged-employment,Express Entry CRS points for arranged employment,points_removed,,2025-03-25,2025-03-25,,"Current Ministerial Instructions mark the relevant CRS provisions repealed March 25, 2025",current,"Before March 25, 2025, qualifying job offers could add 50 or 200 CRS points depending on the occupation.","As of March 25, 2025, Express Entry no longer awards CRS points for job offers. A valid job offer can still matter for eligibility under programs where arranged employment remains part of the program rules.",IRCC applied the removal to current and future candidates in the Express Entry pool.,,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/ministerial-instructions/express-entry-application-management-system/current.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/check-score/crs-criteria.html"",""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/documents/job-offer.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-pgwp-cip-list-2025-06-25,Canada,"Immigration, Refugees and Citizenship Canada",pgwp-field-of-study-list,PGWP eligible field-of-study list,list_updated,2025-06-25,2025-06-25,2025-06-25,2025-07-03,"IRCC notice says effective June 25, 2025",superseded,"The field-of-study list in force immediately before June 25, 2025 applied to affected PGWP pathways.","IRCC added 119 fields of study and removed 178 fields, reporting 920 eligible fields after the update.","Students who applied for a study permit before June 25, 2025 remained eligible if their field was on the list when they applied, even if it was removed on June 25.",,ca-pgwp-cip-list-2025-07-04,https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/update-requirement-post-graduation-work-permits.html,[],OFFICIAL_VERIFIED,2026-09-11
ca-pgwp-cip-list-2025-07-04,Canada,"Immigration, Refugees and Citizenship Canada",pgwp-field-of-study-list,PGWP eligible field-of-study list,removed_fields_restored,2025-07-04,2025-07-04,2025-07-04,,"IRCC states the eligible CIP codes were updated July 4, 2025",current_list_basis,"Between June 25 and July 3, 2025, the published list reflected the June 25 removals, subject to transition protection.","On July 4, 2025, IRCC added back the fields of study that had been removed on June 25. IRCC states those restored fields remain eligible until the list is next updated.",IRCC states that applicants who submitted a study permit application in one of those fields between June 25 and July 4 still meet the field-of-study requirement when they graduate. The current IRCC field-of-study page also states the list is frozen for 2026.,ca-pgwp-cip-list-2025-06-25,,https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/update-requirement-post-graduation-work-permits.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility/field-of-study.html"",""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility/field-of-study/currently-eligible.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-ee-categories-2026-02-18,Canada,"Immigration, Refugees and Citizenship Canada",express-entry-category-based-selection,Express Entry category-based selection priorities,annual_categories_updated,2026-02-18,2026-02-18,,,"Official backgrounder published February 18, 2026; no separate coming-into-force date is stated on that page",current_2026_categories,The 2025 category structure preceded the 2026 annual category update.,"For 2026, IRCC announced new categories for medical doctors with Canadian work experience, researchers with Canadian work experience, senior managers with Canadian work experience, transport occupations and skilled military recruits with a Canadian Armed Forces job offer. Renewed categories are French-language proficiency, health care and social services, education, STEM and trades. IRCC states the minimum work experience for all renewed occupation categories increased from six months to one year in an eligible occupation within the previous three years.","This entry records the official 2026 category announcement. Because the source does not state a separate effective date, the archive does not convert the publication date into a legal coming-into-force date.",,,https://www.canada.ca/en/immigration-refugees-citizenship/news/2026/02/attracting-the-worlds-best-talent-to-fill-canadas-labour-gaps-and-build-our-economy.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/rounds-invitations/category-based-selection.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-family-owp-sip-2026-03-23,Canada,"Immigration, Refugees and Citizenship Canada",family-owp-sip-workers,Open work permits for spouses of workers under an SIP agreement,targeted_eligibility_added,,2026-03-23,2026-03-23,,"Current IRCC eligibility page expressly states as of March 23, 2026",current,"This targeted SIP spouse eligibility did not apply before the stated March 23, 2026 start date.","As of March 23, 2026, a spouse may apply for an open work permit when the principal applicant has a valid work permit or work-permit letter of introduction issued under an SIP agreement, is employed or has a job offer in an occupation at any TEER level, and is or will be living in Canada while employed. The usual 16-month validity requirement does not apply to this targeted measure.",Applicants must follow the specific IRCC instructions and documentary requirements for the measure.,,,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/spouses-dependent-children/eligibility.html,[],OFFICIAL_VERIFIED,2026-09-11
ca-quebec-pstq-spouse-owp-2026-06-05,Canada / Quebec,"Immigration, Refugees and Citizenship Canada",quebec-pstq-spouse-owp,Open work permits for spouses of certain Quebec PSTQ temporary workers,temporary_measure_expanded,2026-06-05,2026-06-05,2026-06-05,2026-12-31,"IRCC notice expressly states starting June 5, 2026 and measure remains open until end of 2026",temporary_current,"A March 13, 2026 public policy supported specified Quebec temporary workers; the June 5 change expanded spouse/common-law-partner eligibility.","Starting June 5, 2026, once the temporary foreign worker is found eligible under the public policy, a spouse or common-law partner can apply for an open work permit if they have valid temporary resident status in Canada or their status expired within the previous 90 days, and they are named on the principal applicant's permanent selection application under Quebec's Skilled Worker Selection Program.","The measure is time-limited through December 31, 2026, subject to the detailed eligibility rules on the current IRCC program pages.",,,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/work-permit-skilled-workers-quebec-pstq/spouses-common-law.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/canada-helps-families-stay-united-contribute-quebec-workforce.html"",""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/work-permit-skilled-workers-quebec-pstq.html""]",OFFICIAL_VERIFIED,2026-09-11
ca-work-permit-short-study-2026-09-04,Canada,"Immigration, Refugees and Citizenship Canada",work-permit-holder-short-study-exemption,Short-term study without a study permit for valid work permit holders,temporary_public_policy_added,2026-09-09,2026-09-09,2026-09-04,2027-12-31,"The temporary public policy was signed August 5, 2026 and states that it comes into effect 30 days after signature; IRCC's implementation page expressly states September 4, 2026. The policy expires December 31, 2027 unless revoked earlier.",temporary_current,"Without this public policy, R188(1)(c) requires a qualifying course or program of studies of six months or less to be completed within the period of stay authorized upon entry into Canada.","Eligible foreign nationals who hold a valid work permit may study without a study permit in a course or program lasting six months or less. The public policy exempts the R188(1)(c) requirement that the course or program be completed within the period of stay authorized upon entry. The exemption ends when the valid work permit expires or the public policy expires or is revoked, whichever occurs first.","The measure applies from September 4, 2026. The signed public policy states the eligibility condition as holding a valid work permit and does not state a separate historical work-permit-application cut-off. IRCC's operational page says a learning institution may ask for the valid work permit as proof of eligibility.",,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-without-study-permit-2026-2.html,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/workers-study-without-study-permit.html"",""https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/economic-growth-public-services-contributions-temporary-workers.html"",""https://laws-lois.justice.gc.ca/eng/regulations/sor-2002-227/section-188.html""]",OFFICIAL_VERIFIED,2026-09-11
