table,period,period_scope,geography,metric,value,suppressed_cells_present,value_status,interpretation_note,source_workbook,source_workbook_sha256
national_total,2015,full_year,Canada,PR admissions with prior PGWP holder status,10215,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2016,full_year,Canada,PR admissions with prior PGWP holder status,10995,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2017,full_year,Canada,PR admissions with prior PGWP holder status,18765,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2018,full_year,Canada,PR admissions with prior PGWP holder status,24535,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2019,full_year,Canada,PR admissions with prior PGWP holder status,27515,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2020,full_year,Canada,PR admissions with prior PGWP holder status,19395,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2021,full_year,Canada,PR admissions with prior PGWP holder status,88430,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2022,full_year,Canada,PR admissions with prior PGWP holder status,52735,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2023,full_year,Canada,PR admissions with prior PGWP holder status,67875,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2024,full_year,Canada,PR admissions with prior PGWP holder status,61475,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2025,full_year,Canada,PR admissions with prior PGWP holder status,49985,false,source_total,Workbook national Total row,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
national_total,2026,Jan-Jun,Canada,PR admissions with prior PGWP holder status,24865,false,source_total,Partial-year source total; do not compare as a full-year 2026 result,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2019,full_year,Canada,Canadian Experience,11115,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2019,full_year,Canada,Provincial Nominee Program total,10750,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2019,full_year,Canada,TR-to-PR Pathway total,0,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2019,full_year,Canada,Economic total,25715,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2020,full_year,Canada,Canadian Experience,9145,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2020,full_year,Canada,Provincial Nominee Program total,6445,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2020,full_year,Canada,TR-to-PR Pathway total,0,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2020,full_year,Canada,Economic total,18210,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2021,full_year,Canada,Canadian Experience,52970,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2021,full_year,Canada,Provincial Nominee Program total,8100,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2021,full_year,Canada,TR-to-PR Pathway total,17050,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2021,full_year,Canada,Economic total,85335,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2022,full_year,Canada,Canadian Experience,8640,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2022,full_year,Canada,Provincial Nominee Program total,8755,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2022,full_year,Canada,TR-to-PR Pathway total,22725,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2022,full_year,Canada,Economic total,49670,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2023,full_year,Canada,Canadian Experience,17110,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2023,full_year,Canada,Provincial Nominee Program total,20730,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2023,full_year,Canada,TR-to-PR Pathway total,17240,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2023,full_year,Canada,Economic total,62935,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2024,full_year,Canada,Canadian Experience,20080,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2024,full_year,Canada,Provincial Nominee Program total,26175,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2024,full_year,Canada,TR-to-PR Pathway total,1045,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2024,full_year,Canada,Economic total,57270,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2025,full_year,Canada,Canadian Experience,18345,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2025,full_year,Canada,Provincial Nominee Program total,17305,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2025,full_year,Canada,TR-to-PR Pathway total,30,true,published_visible_minimum,Sum of published province/territory category cells; one or more suppressed cells not imputed,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
program_mix,2025,full_year,Canada,Economic total,47550,false,published_visible_sum,Sum of published province/territory category cells,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Ontario,Province/Territory of Intended Destination total,23125,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Quebec,Province/Territory of Intended Destination total,9335,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,British Columbia,Province/Territory of Intended Destination total,7510,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Alberta,Province/Territory of Intended Destination total,2900,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Manitoba,Province/Territory of Intended Destination total,1815,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,New Brunswick,Province/Territory of Intended Destination total,1610,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Nova Scotia,Province/Territory of Intended Destination total,1490,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Saskatchewan,Province/Territory of Intended Destination total,1190,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Newfoundland and Labrador,Province/Territory of Intended Destination total,475,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Prince Edward Island,Province/Territory of Intended Destination total,360,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Northwest Territories,Province/Territory of Intended Destination total,95,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Yukon,Province/Territory of Intended Destination total,75,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
intended_destination,2025,full_year,Nunavut,Province/Territory of Intended Destination total,5,false,source_total,Annual intended-destination total; not current residence or long-term settlement location,EN_ODP-TR_to_PR-PGWP_PT_immcat.xlsx,01aba963e8453635e6e4389e3b839def143152d5bbc67be6fe2fdf842dec5a5f
