brief_name,brief_url,event_id,event_permalink
PGWP,brief-pgwp.html,ca-pgwp-masters-three-year-duration-2024-02-15,event.html?id=ca-pgwp-masters-three-year-duration-2024-02-15
PGWP,brief-pgwp.html,ca-pgwp-curriculum-licensing-ineligibility-2024-05-15,event.html?id=ca-pgwp-curriculum-licensing-ineligibility-2024-05-15
PGWP,brief-pgwp.html,ca-pgwp-port-of-entry-application-ended-2024-06-21,event.html?id=ca-pgwp-port-of-entry-application-ended-2024-06-21
PGWP,brief-pgwp.html,ca-pgwp-eligibility-2024-11-01,event.html?id=ca-pgwp-eligibility-2024-11-01
PGWP,brief-pgwp.html,ca-pgwp-cip-list-2025-06-25,event.html?id=ca-pgwp-cip-list-2025-06-25
PGWP,brief-pgwp.html,ca-pgwp-cip-list-2025-07-04,event.html?id=ca-pgwp-cip-list-2025-07-04
Family open work permits,brief-family-open-work-permits.html,ca-family-owp-students-2024-03-19,event.html?id=ca-family-owp-students-2024-03-19
Family open work permits,brief-family-open-work-permits.html,ca-family-owp-students-2025-01-21,event.html?id=ca-family-owp-students-2025-01-21
Family open work permits,brief-family-open-work-permits.html,ca-family-owp-workers-2025-01-21,event.html?id=ca-family-owp-workers-2025-01-21
Family open work permits,brief-family-open-work-permits.html,ca-family-owp-sip-2026-03-23,event.html?id=ca-family-owp-sip-2026-03-23
Family open work permits,brief-family-open-work-permits.html,ca-quebec-pstq-spouse-owp-2026-06-05,event.html?id=ca-quebec-pstq-spouse-owp-2026-06-05
International students,brief-international-students.html,ca-study-permit-pal-tal-introduction-2024-01-22,event.html?id=ca-study-permit-pal-tal-introduction-2024-01-22
International students,brief-international-students.html,ca-study-permit-pal-tal-graduate-expansion-2025-01-22,event.html?id=ca-study-permit-pal-tal-graduate-expansion-2025-01-22
International students,brief-international-students.html,ca-study-permit-pal-tal-public-graduate-exemption-2026-01-01,event.html?id=ca-study-permit-pal-tal-public-graduate-exemption-2026-01-01
International students,brief-international-students.html,ca-student-off-campus-work-hours-2024-11-08,event.html?id=ca-student-off-campus-work-hours-2024-11-08
International students,brief-international-students.html,ca-study-permit-dli-change-rule-2024-11-08,event.html?id=ca-study-permit-dli-change-rule-2024-11-08
International students,brief-international-students.html,ca-postsecondary-coop-work-permit-exemption-2026-04-01,event.html?id=ca-postsecondary-coop-work-permit-exemption-2026-04-01
PNP 2026,brief-pnp-2026.html,ca-pnp-irpr-role-realignment-2026-03-30,event.html?id=ca-pnp-irpr-role-realignment-2026-03-30
PNP 2026,brief-pnp-2026.html,on-oinp-redesign-procedure-2026-05-30,event.html?id=on-oinp-redesign-procedure-2026-05-30
PNP 2026,brief-pnp-2026.html,on-oinp-workforce-priority-regulatory-replacement-2026-06-25,event.html?id=on-oinp-workforce-priority-regulatory-replacement-2026-06-25
PNP 2026,brief-pnp-2026.html,on-oinp-workforce-priority-eoi-launch-2026-08-04,event.html?id=on-oinp-workforce-priority-eoi-launch-2026-08-04
PNP 2026,brief-pnp-2026.html,ca-manitoba-workforce-transition-bridge-2026-07-06,event.html?id=ca-manitoba-workforce-transition-bridge-2026-07-06
PNP 2026,brief-pnp-2026.html,sk-sinp-capped-sector-final-intake-2026-09-14,event.html?id=sk-sinp-capped-sector-final-intake-2026-09-14
Express Entry,brief-express-entry.html,ca-ee-crs-job-offer-2025-03-25,event.html?id=ca-ee-crs-job-offer-2025-03-25
Express Entry,brief-express-entry.html,ca-ee-categories-2026-02-18,event.html?id=ca-ee-categories-2026-02-18
