id,jurisdiction,topic_key,topic,effective_from,effective_to,status,controlling_source_url
"ca-worker-study-exemption-2023-06-27","Canada","work-permit-holder-study-exemption-2023","2023 temporary study-permit exemption for certain work permit holders","2023-06-27","2026-06-27","expired","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-without-study-permit.html"
"ca-visitor-inland-work-permit-policy-ended-2024-08-28","Canada","visitor-inland-work-permit-public-policy","Visitor in-Canada work-permit temporary public policy","2024-08-28","","historical_termination","https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/ends-tpp-allowing-visitors-apply-work-permits-within-country.html"
"ca-construction-apprentice-study-exemption-2025-02-26","Canada","construction-apprentice-study-exemption","Construction-trade apprentices studying without a study permit","2025-02-26","2027-02-26","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/apprentice-study-without-study-permit.html"
"ca-fmcsp-study-permit-policy-2025-09-18","Canada outside Quebec","francophone-minority-communities-student-pilot-study","Francophone Minority Communities Student Pilot study-permit public policy","2025-09-18","2026-06-24","superseded","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2025.html"
"ca-fmcsp-pr-policy-2025-09-18","Canada outside Quebec","francophone-minority-communities-student-pilot-pr-owp","FMCSP permanent-residence and open-work-permit public policy","2025-09-18","2026-06-24","superseded","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2025.html"
"ca-quebec-pstq-work-permit-public-policy-2026-03-13","Canada / Quebec","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","2026-03-13","2026-06-04","superseded","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-quebec-pr.html"
"ca-quebec-pstq-spouse-owp-2026-06-05","Canada / Quebec","quebec-pstq-spouse-owp","Open work permits for spouses of certain Quebec PSTQ temporary workers","2026-06-05","2026-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/work-permit-skilled-workers-quebec-pstq/spouses-common-law.html"
"ca-quebec-pstq-work-permit-public-policy-2026-06-05","Canada / Quebec","quebec-pstq-work-permit-public-policy","Quebec PSTQ prospective permanent residence work-permit public policy","2026-06-05","2026-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-qc-pr-2026-2.html"
"ca-fmcsp-study-permit-policy-2026-06-25","Canada outside Quebec","francophone-minority-communities-student-pilot-study","Updated Francophone Minority Communities Student Pilot study-permit public policy","2026-06-25","","current_part_specific_expiry","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2026.html"
"ca-fmcsp-pr-owp-policy-2026-06-25","Canada outside Quebec","francophone-minority-communities-student-pilot-pr-owp","Updated FMCSP permanent-residence and open-work-permit public policy","2026-06-25","2032-11-30","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2026.html"
"ca-manitoba-workforce-transition-bridge-2026-07-06","Canada / Manitoba","manitoba-workforce-transition-bridge","Manitoba Workforce Transition Bridge open work permit public policy","2026-07-06","2027-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/prospective-pnp-applicants.html"
"ca-work-permit-short-study-2026-09-04","Canada","work-permit-holder-short-study-exemption","Short-term study without a study permit for valid work permit holders","2026-09-04","2027-12-31","temporary_current","https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-without-study-permit-2026-2.html"
